id,name,type
cacamba_entulho,caçambas de entulho,material
servente,servente,labor
tinta-latex-branca,tinta latex branca,material
pintor,pintor,labor
piso_laminado,piso laminado,material
montador_dry-wall,montador,labor
ponto_eletrica,ponto de eletrica,material
eletricista,eletricista,labor
tinta_esmalte,tinta esmalte,material
solvente,solvente,material
lixa_massa,lixa massa,material
porcelanato_polido,porcelanato polido,material
argamassa_base_cimento,argamassa base cimento,material
rejunte,rejunte,material
pedreiro,pedreiro,labor
ceramic-tiles,Ceramic and Tiles,material
bacia_sanitaria,bacia sanitaria,material
tubo_agua_fria,tubo agua fria,material
tubulacao_esgoto,tubulação de  esgoto,material
engate_flexivel_agua,engate flexivel agua,material
registro_agua,registro de água,material
encanador,encanador,labor
cuba_lavatorio,cuba de lavatório,material
torneira_banheiro,torneira banheiro,material
tampo_lavatorio,tampo lavatório,material
sifao_lavatorio,sifão de lavatório,material
tubo_agua_quente,tubo agua quente,material
manta_impermeabilizacao,manta impermeabilização,material
porta_madeira,porta madeira,material
fechadura,fechadura porta,material
dobradica_porta,dobradiça de porta,material
carpinteiro,carpinteiro,labor
forro_gesso,forro de gesso,material
cabo_eletrico,cabo eletrico,material
piso_ceramico_interno,piso ceramico interno,material
tampo_granito_cozinha,tampo granito cozinha,material
cuba_cozinhacu,cuba cozinha,material
torneira_quente_fria_cozinha,torneira cozinha,material
porcelnato_rustico,porcelanato rustico,material
rodape_poliestireno,rodape poliestireno,material
