service_id,type,category_id,base_qtd,base_unit
demolicao_piso_ceramico,material,cacamba_entulho,1,pack
demolicao_piso_ceramico,labor,servente,1,h
demolicao_parede_alvenaria,material,cacamba_entulho,1,pack
demolicao_parede_alvenaria,labor,servente,3,h
pintura-parede,material,tinta-latex-branca,0.3,l
pintura-parede,labor,pintor,0.2,h
pintura_teto_branco,material,tinta-latex-branca,0.4,l
pintura_teto_branco,labor,pintor,0.2,h
piso_laminado,material,piso_laminado,1,m2
piso_laminado,labor,montador_dry-wall,1,h
limpeza_obra,labor,servente,2,h
trocar_tomada,material,ponto_eletrica,1,pack
trocar_tomada,labor,eletricista,1,h
pintura_porta_branca,material,tinta_esmalte,2,l
pintura_porta_branca,material,solvente,1,l
pintura_porta_branca,material,lixa_massa,2,pack
pintura_porta_branca,labor,pintor,2,h
demolicao_revestimento_ceramico,material,cacamba_entulho,0.5,pack
demolicao_revestimento_ceramico,labor,servente,2,h
retirada_loucas_metais,labor,servente,1,h
porcelanato-polido,material,porcelanato_polido,1.05,m
porcelanato-polido,material,argamassa_base_cimento,1,m2
porcelanato-polido,material,rejunte,1,kg
porcelanato-polido,labor,pedreiro,0.8,h
porcelanato-polido,labor,servente,0.5,h
revestimento_ceramico_parede,material,argamassa_base_cimento,7,kg
revestimento_ceramico_parede,material,rejunte,0.25,kg
revestimento_ceramico_parede,material,ceramic-tiles,1.05,m2
revestimento_ceramico_parede,labor,servente,0.5,h
revestimento_ceramico_parede,labor,pedreiro,0.5,h
bacia_sanitaria_cx_acoplada,material,bacia_sanitaria,1,pack
bacia_sanitaria_cx_acoplada,material,tubo_agua_fria,1.5,m
bacia_sanitaria_cx_acoplada,material,tubulacao_esgoto,0.8,m
bacia_sanitaria_cx_acoplada,material,engate_flexivel_agua,1,m
bacia_sanitaria_cx_acoplada,material,registro_agua,1,m
bacia_sanitaria_cx_acoplada,labor,servente,1,h
bacia_sanitaria_cx_acoplada,labor,encanador,2,h
lavatorio_banheiro_fria_quente,material,cuba_lavatorio,1,pack
lavatorio_banheiro_fria_quente,material,torneira_banheiro,1,pack
lavatorio_banheiro_fria_quente,material,tampo_lavatorio,0.8,m2
lavatorio_banheiro_fria_quente,material,sifao_lavatorio,1,pack
lavatorio_banheiro_fria_quente,material,engate_flexivel_agua,2,pack
lavatorio_banheiro_fria_quente,material,tubo_agua_fria,1,m
lavatorio_banheiro_fria_quente,material,tubo_agua_quente,1,m
lavatorio_banheiro_fria_quente,material,tubulacao_esgoto,1,m
lavatorio_banheiro_fria_quente,labor,servente,1,h
lavatorio_banheiro_fria_quente,labor,encanador,4,h
manta_asfaltica,material,manta_impermeabilizacao,1.2,m2
manta_asfaltica,labor,pedreiro,1,h
manta_asfaltica,labor,servente,1,h
porta_madeira_interna_completa,material,porta_madeira,1,pack
porta_madeira_interna_completa,material,fechadura,1,pack
porta_madeira_interna_completa,material,dobradica_porta,3,pack
porta_madeira_interna_completa,labor,servente,1,h
porta_madeira_interna_completa,labor,carpinteiro,2,h
registro_agua_pressao,material,registro_agua,1,pack
registro_agua_pressao,labor,encanador,1,h
forro_gesso,material,forro_gesso,1,m
forro_gesso,labor,montador_dry-wall,1,h
ponto_luz_forro,material,cabo_eletrico,1,m
ponto_luz_forro,labor,eletricista,1,h
trocar_cabo_tomada_10a,material,cabo_eletrico,3,m
trocar_cabo_tomada_10a,labor,eletricista,1,h
piso_ceramico_interno,material,argamassa_base_cimento,7,kg
piso_ceramico_interno,material,rejunte,0.3,kg
piso_ceramico_interno,material,piso_ceramico_interno,0.5,m2
piso_ceramico_interno,labor,pedreiro,0.5,h
piso_ceramico_interno,labor,servente,0.5,h
tampo_cuba_torneira_cozinha,material,tampo_granito_cozinha,1.8,m2
tampo_cuba_torneira_cozinha,material,cuba_cozinhacu,1,pack
tampo_cuba_torneira_cozinha,material,torneira_quente_fria_cozinha,1,pack
tampo_cuba_torneira_cozinha,labor,encanador,2,h
tampo_cuba_torneira_cozinha,labor,servente,2,h
tampo_cuba_torneira_cozinha,labor,pedreiro,1,h
piso_porcelanato_regua,material,argamassa_base_cimento,7,kg
piso_porcelanato_regua,material,rejunte,0.3,kg
piso_porcelanato_regua,material,porcelnato_rustico,1,m
piso_porcelanato_regua,labor,pedreiro,1,h
piso_porcelanato_regua,labor,servente,1,h
rodape_poliestireno,material,rodape_poliestireno,1,m
