id,nome
ab5bb375-61d7-4901-bcfb-ea54a86fcc62,quarto
92763d3d-18cf-4cb7-8cc0-078db26073bf,banheiro
1e8ccf2b-c74a-42ce-b6a8-160fdf0d7135,cozinha
c3f4ab0e-df16-4386-8923-ccb7d1747b74,sala de estar
11f57bde-ff0e-415c-93cb-d71af5db0dfc,sala de jantar
655e103f-1d5d-465b-9cf9-9d785440a0d3,garagem
22828f7a-a752-49a1-8e38-6d232880378e,área de serviço
804d01b8-5a6e-494b-993f-0fbb0bec0457,escritório
07f07a0e-8cd4-4169-860e-cce03dc89189,varanda
e949b4e4-5e5c-4d38-a77d-636f6371234d,terraço
08e85360-8bce-4de5-a0fd-de6416b3b298,jardim
5043ad33-2251-446b-adaf-3a060f981cc6,corredor
de4b74a8-1c61-42cf-876f-7161ee7aea66,closet
12eaed22-1251-4066-9815-5991048d8806,depósito
83f25020-8f27-4945-a562-a78ff9b8a297,porão
c7d7cfbe-2c37-4088-ba57-99bc0f6a5a03,sótão
f350e03d-3b91-4fed-bf2a-23447e2c6b1f,churrasqueira
39f216b2-90ec-403d-9ca5-f710143a2db2,escritorio
5a3f5231-d6b0-40f4-ba54-c9ff4271f644,lavabo
f05d01d5-4e45-4fa9-8402-f7d852ab0a12,sala_quarto_cozinha
f5edff34-47e7-470d-9ff8-52b6168ce6d4,cobertura
